* Possible couples highlighting relations between indicators

* NETWORK
Tcp_TimeWait#DIFFERENCE#UNIX_NETWORK;SystemCpuLoad#DIFFERENCE#JVM
Tcp_Listen#PLAIN#UNIX_NETWORK;CPU Soft Interrupts#PLAIN#CENTOS
Tcp_Listen#DIFFERENCE#UNIX_NETWORK;CPU Soft Interrupts#DIFFERENCE#CENTOS
Tcp_Listen#PLAIN#UNIX_NETWORK;CPU Niced Processes#PLAIN#CENTOS
Tcp_Listen#DIFFERENCE#UNIX_NETWORK;CPU Niced Processes#DIFFERENCE#CENTOS
Tcp_Listen#PLAIN#UNIX_NETWORK;Major Page Faults#PLAIN#CENTOS
Tcp_Listen#DIFFERENCE#UNIX_NETWORK;Major Page Faults#DIFFERENCE#CENTOS

* |Pearson| > 0.9
Usage.used#DIFFERENCE#JVM;PeakUsage.used#DIFFERENCE#JVM
CPU I/O Wait Processes#PLAIN#CENTOS;PageOut#PLAIN#CENTOS
CPU I/O Wait Processes#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
Active Files#DIFFERENCE#CENTOS;Cached Memory#DIFFERENCE#CENTOS
Active Files#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
TotalLoadedClassCount#DIFFERENCE#JVM;LoadedClassCount#DIFFERENCE#JVM
CPU Idle Processes#DIFFERENCE#CENTOS;CPU User Processes#DIFFERENCE#CENTOS
CPU Idle Processes#DIFFERENCE#CENTOS;SystemCpuLoad#PLAIN#JVM
CPU Kernel Processes#DIFFERENCE#CENTOS;Cached Memory#DIFFERENCE#CENTOS
CPU Kernel Processes#DIFFERENCE#CENTOS;Inactive Memory#DIFFERENCE#CENTOS
CPU Kernel Processes#DIFFERENCE#CENTOS;Inactive Files#DIFFERENCE#CENTOS
CPU Kernel Processes#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
LoadedClassCount#PLAIN#JVM;TotalLoadedClassCount#PLAIN#JVM
NonHeapMemoryUsage.used#PLAIN#JVM;CPU Kernel Processes#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;Free Virtual Pages#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;CPU Interrupts#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;CurrentThreadCpuTime#PLAIN#JVM
NonHeapMemoryUsage.used#PLAIN#JVM;ProcessCpuTime#PLAIN#JVM
NonHeapMemoryUsage.used#PLAIN#JVM;CurrentThreadUserTime#PLAIN#JVM
NonHeapMemoryUsage.used#PLAIN#JVM;Buffers#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;CPU User Processes#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;CPU Idle Processes#PLAIN#CENTOS
NonHeapMemoryUsage.used#PLAIN#JVM;Minor Page Faults#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Free Virtual Pages#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;CPU Interrupts#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;CurrentThreadCpuTime#PLAIN#JVM
CPU Kernel Processes#PLAIN#CENTOS;ProcessCpuTime#PLAIN#JVM
CPU Kernel Processes#PLAIN#CENTOS;CurrentThreadUserTime#PLAIN#JVM
CPU Kernel Processes#PLAIN#CENTOS;Buffers#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;PageOut#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Activated Virtual Pages#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Inactive Memory#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
CPU Kernel Processes#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Free Virtual Pages#PLAIN#CENTOS;CPU Interrupts#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;CurrentThreadCpuTime#PLAIN#JVM
Free Virtual Pages#PLAIN#CENTOS;ProcessCpuTime#PLAIN#JVM
Free Virtual Pages#PLAIN#CENTOS;CurrentThreadUserTime#PLAIN#JVM
Free Virtual Pages#PLAIN#CENTOS;Buffers#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;PageOut#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;Activated Virtual Pages#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
Free Virtual Pages#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;CurrentThreadCpuTime#PLAIN#JVM
CPU Interrupts#PLAIN#CENTOS;ProcessCpuTime#PLAIN#JVM
CPU Interrupts#PLAIN#CENTOS;CurrentThreadUserTime#PLAIN#JVM
CPU Interrupts#PLAIN#CENTOS;Buffers#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;PageOut#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Activated Virtual Pages#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Inactive Memory#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
CPU Interrupts#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
CurrentThreadCpuTime#PLAIN#JVM;ProcessCpuTime#PLAIN#JVM
CurrentThreadCpuTime#PLAIN#JVM;CurrentThreadUserTime#PLAIN#JVM
CurrentThreadCpuTime#PLAIN#JVM;Buffers#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;PageOut#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;CPU User Processes#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;CPU Idle Processes#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;Minor Page Faults#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;Free Memory#PLAIN#CENTOS
CurrentThreadCpuTime#PLAIN#JVM;FreePhysicalMemorySize#PLAIN#JVM
ProcessCpuTime#PLAIN#JVM;CurrentThreadUserTime#PLAIN#JVM
ProcessCpuTime#PLAIN#JVM;Buffers#PLAIN#CENTOS
ProcessCpuTime#PLAIN#JVM;PageOut#PLAIN#CENTOS
ProcessCpuTime#PLAIN#JVM;CPU User Processes#PLAIN#CENTOS
ProcessCpuTime#PLAIN#JVM;CPU Idle Processes#PLAIN#CENTOS
ProcessCpuTime#PLAIN#JVM;Minor Page Faults#PLAIN#CENTOS
PeakUsage.used#PLAIN#JVM;Usage.used#PLAIN#JVM
CurrentThreadUserTime#PLAIN#JVM;Buffers#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;PageOut#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;CPU User Processes#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;CPU Idle Processes#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;Minor Page Faults#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;Free Memory#PLAIN#CENTOS
CurrentThreadUserTime#PLAIN#JVM;FreePhysicalMemorySize#PLAIN#JVM
Buffers#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
Buffers#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
Buffers#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
Cached Memory#DIFFERENCE#CENTOS;Inactive Memory#DIFFERENCE#CENTOS
Cached Memory#DIFFERENCE#CENTOS;Inactive Files#DIFFERENCE#CENTOS
Cached Memory#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
PageOut#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
PageOut#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
PageOut#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
Inactive Memory#DIFFERENCE#CENTOS;Inactive Files#DIFFERENCE#CENTOS
Inactive Memory#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;Inactive Memory#PLAIN#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
Activated Virtual Pages#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Inactive Files#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
Cached Memory#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
Cached Memory#PLAIN#CENTOS;Inactive Memory#PLAIN#CENTOS
Cached Memory#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
Cached Memory#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
Cached Memory#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
CPU User Processes#PLAIN#CENTOS;CPU Idle Processes#PLAIN#CENTOS
CPU User Processes#PLAIN#CENTOS;Inactive Memory#PLAIN#CENTOS
CPU User Processes#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
CPU User Processes#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
CPU User Processes#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
CPU User Processes#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
CPU Idle Processes#PLAIN#CENTOS;Minor Page Faults#PLAIN#CENTOS
Inactive Memory#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
Inactive Memory#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
Inactive Memory#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Minor Page Faults#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
Minor Page Faults#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Free Memory#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
Free Memory#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Inactive Files#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
